type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,4.707956573,-74.060414611,2554.2,,,0.000,,,2,1.00,Bogota Sopo,
T,4.706896165,-74.055616166,2553.1,102.5,-0.2,0.545,545.13,,,,,
T,4.706684928,-74.053855798,2549.7,96.9,-1.7,0.742,196.70,,,,,
T,4.706408848,-74.052325804,2555.7,100.3,3.5,0.914,172.47,,,,,
T,4.705415184,-74.048791427,2552.3,105.8,-0.8,1.322,407.23,,,,,
T,4.701867235,-74.049377061,2551.8,189.3,-0.1,1.719,397.68,,,,,
T,4.698633191,-74.049954453,2550.8,190.1,-0.3,2.083,363.32,,,,,
T,4.695273198,-74.050531805,2553.8,189.7,0.8,2.460,377.04,,,,,
T,4.686117952,-74.052120547,2557.9,189.8,0.4,3.487,1027.63,,,,,
T,4.685447521,-74.048949701,2559.7,102.0,0.5,3.847,359.53,,,,,
T,4.684369417,-74.046654187,2561.5,115.2,0.6,4.128,281.21,,,,,
T,4.682739560,-74.043349779,2559.7,116.3,-0.4,4.536,408.53,,,,,
T,4.677367329,-74.046014372,2567.1,206.3,1.1,5.200,663.57,,,,,
T,4.675665507,-74.046964367,2566.3,209.1,-0.4,5.416,215.70,,,,,
T,4.673621648,-74.047984493,2566.6,206.4,0.1,5.669,252.77,,,,,
T,4.671697268,-74.044238879,2590.5,117.3,5.1,6.135,466.90,,,,,
T,4.671532781,-74.043802160,2596.4,110.7,11.5,6.187,51.76,,,,,
T,4.671078796,-74.043509149,2603.3,147.2,11.5,6.247,59.81,,,,,
T,4.670355801,-74.043585087,2622.4,186.0,23.7,6.327,80.39,,,,,
T,4.668964211,-74.044238699,2625.8,205.1,2.0,6.497,170.12,,,,,
T,4.669565935,-74.043594915,2650.3,46.8,25.1,6.595,97.62,,,,,
T,4.670060555,-74.042752787,2650.2,59.5,-0.1,6.703,108.27,,,,,
T,4.669888537,-74.042321026,2658.5,111.8,16.1,6.755,51.54,,,,,
T,4.669548901,-74.041986957,2670.5,135.6,22.8,6.808,52.77,,,,,
T,4.669290945,-74.041127740,2672.9,106.8,2.4,6.907,99.51,,,,,
T,4.669041297,-74.040476440,2677.6,111.0,6.0,6.985,77.36,,,,,
T,4.668830794,-74.040208536,2684.2,128.3,17.4,7.022,37.75,,,,,
T,4.668313484,-74.039771958,2699.3,139.9,20.2,7.097,74.96,,,,,
T,4.668218858,-74.039609344,2703.5,120.3,19.9,7.118,20.86,,,,,
T,4.668297375,-74.039362190,2698.2,72.3,-18.3,7.147,28.76,,,,,
T,4.670001396,-74.038830957,2716.0,17.3,9.0,7.344,197.44,,,,,
T,4.670439533,-74.038971788,2704.0,342.2,-23.6,7.395,50.91,,,,,
T,4.671212995,-74.038737002,2713.0,16.8,10.1,7.485,89.41,,,,,
T,4.672098969,-74.038638966,2718.0,6.3,5.1,7.583,98.57,,,,,
T,4.672407321,-74.038940108,2707.9,315.8,-21.1,7.631,47.74,,,,,
T,4.672674841,-74.039047271,2705.9,338.2,-6.5,7.663,31.88,,,,,
T,4.673466031,-74.038951947,2713.5,6.8,8.6,7.751,88.13,,,,,
T,4.673837289,-74.038641892,2714.2,39.8,1.4,7.805,53.56,,,,,
T,4.673882878,-74.038110931,2730.9,85.1,28.3,7.864,59.13,,,,,
T,4.673960970,-74.037594859,2737.4,81.4,11.2,7.922,57.91,,,,,
T,4.674078003,-74.037051800,2741.1,77.8,6.0,7.983,61.63,,,,,
T,4.674200165,-74.036388171,2751.4,79.5,13.7,8.058,74.86,,,,,
T,4.674505053,-74.035993107,2756.9,52.2,10.0,8.113,55.30,,,,,
T,4.675369411,-74.035614810,2767.6,23.6,10.2,8.218,104.39,,,,,
T,4.675736519,-74.035719386,2760.9,344.1,-15.8,8.260,42.22,,,,,
T,4.676210927,-74.035843468,2748.5,345.4,-22.9,8.314,54.24,,,,,
T,4.676641723,-74.035620983,2753.4,27.2,9.1,8.368,53.65,,,,,
T,4.676898299,-74.035171979,2763.5,60.2,17.6,8.425,57.33,,,,,
T,4.677003083,-74.034406804,2781.3,82.2,20.8,8.511,85.68,,,,,
T,4.677636291,-74.033378664,2779.6,58.3,-1.2,8.645,133.85,,,,,
T,4.677516011,-74.031966355,2795.0,94.9,9.8,8.802,157.26,,,,,
T,4.677345460,-74.031181299,2797.9,102.3,3.2,8.891,89.12,,,,,
T,4.677005342,-74.030574080,2796.1,119.3,-2.3,8.968,77.16,,,,,
T,4.676110273,-74.030695134,2811.7,187.7,15.6,9.068,99.89,,,,,
T,4.675748268,-74.030570590,2817.3,161.1,13.2,9.110,42.35,,,,,
T,4.675314204,-74.027709689,2844.1,98.7,8.4,9.432,321.03,,,,,
T,4.675751007,-74.027033666,2842.3,57.0,-2.0,9.521,89.21,,,,,
T,4.675847757,-74.026764508,2845.0,70.2,8.5,9.552,31.72,,,,,
T,4.675244144,-74.024758334,2871.5,106.8,11.4,9.785,232.38,,,,,
T,4.675524811,-74.023833120,2867.2,73.1,-4.0,9.892,107.24,,,,,
T,4.675538648,-74.023480175,2870.1,87.7,7.3,9.931,39.19,,,,,
T,4.675188554,-74.023213604,2880.7,142.8,21.7,9.980,48.72,,,,,
T,4.674739414,-74.022905212,2889.8,145.6,15.2,10.040,60.31,,,,,
T,4.674665872,-74.022604321,2889.5,103.8,-0.8,10.075,34.36,,,,,
T,4.674856829,-74.022238015,2887.4,62.4,-4.6,10.120,45.80,,,,,
T,4.674919748,-74.021815265,2892.2,81.5,10.0,10.168,47.42,,,,,
T,4.674716128,-74.021271326,2897.1,110.6,7.7,10.232,64.41,,,,,
T,4.674290914,-74.021052600,2902.4,152.9,10.0,10.285,52.91,,,,,
T,4.673857496,-74.020701016,2911.8,141.0,15.2,10.347,61.80,,,,,
T,4.673811193,-74.020337148,2912.7,97.3,2.3,10.388,40.70,,,,,
T,4.673942657,-74.019855251,2909.9,74.7,-5.2,10.443,55.41,,,,,
T,4.673727873,-74.019267303,2915.5,110.1,8.1,10.513,69.42,,,,,
T,4.673399628,-74.018713125,2918.3,120.7,3.9,10.584,71.40,,,,,
T,4.673052646,-74.018440117,2923.1,141.9,9.8,10.633,48.89,,,,,
T,4.672647882,-74.018260864,2927.4,156.2,8.9,10.682,48.98,,,,,
T,4.672511329,-74.017787863,2930.1,106.2,4.9,10.736,54.61,,,,,
T,4.672466256,-74.017346401,2930.8,95.8,1.5,10.786,49.23,,,,,
